Brand,Model,Processor,RAM_GB,Storage_SSD_GB,GPU,Category,Price_USD
ASUS,ROG Strix G16,Intel Core i9-13980HX,32,1000,NVIDIA RTX 4090,Gaming,2999
ASUS,ROG Zephyrus G14,AMD Ryzen 9 7940HS,16,512,NVIDIA RTX 4060,Gaming,1499
ASUS,TUF Gaming A15,AMD Ryzen 7 7745HX,16,512,NVIDIA RTX 4060,Gaming,1099
ASUS,TUF Gaming F15,Intel Core i7-13620H,16,512,NVIDIA RTX 4060,Gaming,999
ASUS,ROG Flow X16,AMD Ryzen 9 7940HS,32,1000,NVIDIA RTX 4080,Gaming,2499
ASUS,Vivobook Pro 16,Intel Core i7-13700H,16,512,NVIDIA RTX 4060,Editing,1299
ASUS,ProArt Studiobook 16,Intel Core i9-13980HX,64,2000,NVIDIA RTX 4090,Editing,3499
ASUS,Zenbook 14X,Intel Core i9-13900H,32,1000,Intel Iris Xe,Programming,1799
ASUS,Zenbook Pro 14,Intel Core Ultra 9 185H,32,1000,NVIDIA RTX 4060,Programming,1999
ASUS,ExpertBook B9,Intel Core i7-1355U,16,512,Intel Iris Xe,Office,1399
ASUS,Vivobook 15,Intel Core i5-1335U,8,512,Intel Iris Xe,Office,699
ASUS,Vivobook 16X,Intel Core i7-1360P,16,512,NVIDIA RTX 2050,Office,899
Dell,XPS 15,Intel Core i9-13900H,32,1000,NVIDIA RTX 4070,Editing,2499
Dell,XPS 13 Plus,Intel Core i7-1360P,16,512,Intel Iris Xe,Programming,1499
Dell,Alienware m18,Intel Core i9-13900HX,32,1000,NVIDIA RTX 4090,Gaming,3999
Dell,Alienware x16,Intel Core i9-13900HX,32,1000,NVIDIA RTX 4080,Gaming,3499
Dell,G16 Gaming,Intel Core i7-13650HX,16,512,NVIDIA RTX 4060,Gaming,1199
Dell,G15 Gaming,Intel Core i5-13450HX,16,512,NVIDIA RTX 4050,Gaming,899
Dell,Inspiron 16 Plus,Intel Core i7-13700H,16,512,NVIDIA RTX 4060,Programming,1299
Dell,Inspiron 14,Intel Core i5-1335U,16,512,Intel Iris Xe,Office,749
Dell,Latitude 5540,Intel Core i7-1365U,16,512,Intel Iris Xe,Office,1299
Dell,Vostro 3520,Intel Core i5-1235U,8,256,Intel Iris Xe,Office,599
Dell,Precision 7680,Intel Core i9-13950HX,64,2000,NVIDIA RTX 5000,Editing,4999
HP,Spectre x360 14,Intel Core Ultra 7 155H,32,1000,Intel Arc,Programming,1799
HP,Spectre x360 16,Intel Core i7-1360P,16,512,NVIDIA RTX 3050,Editing,1699
HP,ENVY x360 15,AMD Ryzen 7 7730U,16,512,AMD Radeon 680M,Programming,999
HP,ENVY 16,Intel Core i9-13900H,32,1000,NVIDIA RTX 4060,Editing,1699
HP,Omen 17,Intel Core i9-13900HX,32,1000,NVIDIA RTX 4080,Gaming,2799
